EN,CN,,,,,,,,,,,,,,
1-sided test,单侧检验,,,,,,,,,,,,,,
1st quartile,第一四分位数、第25%分位数,,,,,,,,,,,,,,
2-factor ANOVA model,二因素方差分析模型,,,,,,,,,,,,,,
2-parameter logistic regression model,2 参数logistic回归模型,,,,,,,,,,,,,,
2-sample t test,两样本t检验,,,,,,,,,,,,,,
2-sided 95% confidence interval,双侧95%置信区间,,,,,,,,,,,,,,
2-sided adaptive test,双测适应性检验,,,,,,,,,,,,,,
2-sided confidence interval,双侧置信区间,,,,,,,,,,,,,,
2-sided test,双侧检验,,,,,,,,,,,,,,
2-stage recursive adaptive design,两阶段递归适应性设计,,,,,,,,,,,,,,
2-tailed test,双尾检验、双侧检验,,,,,,,,,,,,,,
2-way split-plot design,两向裂区设计,,,,,,,,,,,,,,
2-way table,两因子表,,,,,,,,,,,,,,
3rd quartile,第三四分位数、第75%分位数,,,,,,,,,,,,,,
3-stage adaptive design,三阶段适应性设计,,,,,,,,,,,,,,
95% CI,95%置信区间,,,,,,,,,,,,,,
a priori hierarchical intersection test,先验性层级交叉检验,,,,,,,,,,,,,,
Ability to Detect Change,检测变化的能力,,,,,,,,,,,,,,
abscissa,横坐标,,,,,,,,,,,,,,
absence rate ,缺勤率,,,,,,,,,,,,,,
absolute bioavailability,绝对生物利用度,,,,,,,,,,,,,,
absolute deviation,绝对偏差,,,,,,,,,,,,,,
absolute number,绝对数,,,,,,,,,,,,,,
absolute risk,绝对风险,,,,,,,,,,,,,,
absolute risk reduction (ARR),绝对风险降低 (又简称为ARR),,,,,,,,,,,,,,
Absolute value,绝对值,,,,,,,,,,,,,,
absorption rate constant,吸收速率常数,,,,,,,,,,,,,,
accelerated failure time,加速失效时间,,,,,,,,,,,,,,
accelerated failure time assumption,加速失效时间假设,,,,,,,,,,,,,,
acceleration factor,加速因子,,,,,,,,,,,,,,
acceptability constant,接收常数、接受常数,,,,,,,,,,,,,,
acceptable process level,可接收过程水平,,,,,,,,,,,,,,
acceptance control chart,验收控制图,,,,,,,,,,,,,,
acceptance control limit,验收控制限,,,,,,,,,,,,,,
acceptance inspection,验收检验,,,,,,,,,,,,,,
acceptance quality limit,接收质量限,,,,,,,,,,,,,,
acceptance region,接受域、接受区,,,,,,,,,,,,,,
acceptance value,可接受值,,,,,,,,,,,,,,
acceptance-rejection method,接受-拒绝法,,,,,,,,,,,,,,
accepted reference value,接受参照值,,,,,,,,,,,,,,
accident error,偶发误差,,,,,,,,,,,,,,
accidental bias,偶发偏差,,,,,,,,,,,,,,
accrual bias,累计偏差,,,,,,,,,,,,,,
accrued data,累计数据,,,,,,,,,,,,,,
accumulated frequency,累积频数,,,,,,,,,,,,,,
accumulation ratio,累积比,,,,,,,,,,,,,,
Accuracy,准确度,,,,,,,,,,,,,,
accuracy,准确度,,,,,,,,,,,,,,
action limit,行动限,,,,,,,,,,,,,,
active control group,阳性对照组,,,,,,,,,,,,,,
actual state,实际状态,,,,,,,,,,,,,,
actuarial method,精算方法,,,,,,,,,,,,,,
Adaptation,调适,,,,,,,,,,,,,,
adaptation strategy,适应性策略,,,,,,,,,,,,,,
adaptive allocation design,适应性分配设计,,,,,,,,,,,,,,
adaptive change of hypothesis,适应性假设调整,,,,,,,,,,,,,,
adaptive choice of test statistic,适应性统计量选择,,,,,,,,,,,,,,
adaptive closed test,适应性闭合检验,,,,,,,,,,,,,,
Adaptive Design,适应性设计,,,,,,,,,,,,,,
Adaptive Design,适应性设计,,,,,,,,,,,,,,
adaptive design,适应性设计,,,,,,,,,,,,,,
Adaptive Design,适应性设计,,,,,,,,,,,,,,
adaptive Dunnett test,适应性Dunnett检验,,,,,,,,,,,,,,
Adaptive endpoint selection,适应性终点选择,,,,,,,,,,,,,,
Adaptive Enrichment Design,适应性富集设计,,,,,,,,,,,,,,
adaptive enrichment design,适应性富集设计,,,,,,,,,,,,,,
Adaptive Enrichment Strategy,适应性富集策略,,,,,,,,,,,,,,
adaptive futility design,适应性无效设计,,,,,,,,,,,,,,
adaptive patient allocation,适应性病例分配,,,,,,,,,,,,,,
Adaptive Phase II/III Inferential Seamless Dose-selection Design,适应性II/III期推断无缝剂量选择设计,,,,,,,,,,,,,,
Adaptive Randomization,适应性随机,,,,,,,,,,,,,,
adaptive randomization design,适应性随机化设计,,,,,,,,,,,,,,
adaptive randomization procedure,适应性随机化过程,,,,,,,,,,,,,,
Adaptive Seamless Design,适应性无缝设计,,,,,,,,,,,,,,
adaptive seamless design,适应性无缝设计,,,,,,,,,,,,,,
adaptive treatment selection,适应性治疗选择,,,,,,,,,,,,,,
adaptive treatment switch,适应性治疗转组,,,,,,,,,,,,,,
adaptive treatment-switching design,适应性治疗转组设计,,,,,,,,,,,,,,
adaptive trial expected duration,适应性试验预期持续时间,,,,,,,,,,,,,,
adaptively weighted ML estimate,适应性加权极大似然估计,,,,,,,,,,,,,,
adaptive-randomization algorithm,适应性随机化算法,,,,,,,,,,,,,,
additive error,可加性误差,,,,,,,,,,,,,,
additive failure time model,加和性实效时间模型,,,,,,,,,,,,,,
additive model,可加性模型,,,,,,,,,,,,,,
add-on design,加载设计,,,,,,,,,,,,,,
Adherence to protocol,方案依从性,,,,,,,,,,,,,,
adjusted mean,修正均数,,,,,,,,,,,,,,
adjusted point estimate,调整后点估计,,,,,,,,,,,,,,
adjusted p-value,调整后 p 值,,,,,,,,,,,,,,
adjusted rate,调整率,,,,,,,,,,,,,,
adjusted significance level,调整后显著性水平,,,,,,,,,,,,,,
adjusted survival curve,调整后生存曲线,,,,,,,,,,,,,,
Adverse Event,不良事件,,,,,,,,,,,,,,
adverse Event,不良事件,,,,,,,,,,,,,,
age specific failure rate,年龄别失效率,,,,,,,,,,,,,,
age-specific Death rate,年龄别死亡率,,,,,,,,,,,,,,
agreement,一致性,,,,,,,,,,,,,,
AIC,赤池信息准则、赤池信息指标,,,,,,,,,,,,,,
Akaike’s information criterion （AIC),赤池信息准则、赤池信息指标（常简称为AIC）,,,,,,,,,,,,,,
allocation,分配,,,,,,,,,,,,,,
allocation rule,分配规则,,,,,,,,,,,,,,
alpha error,一型错误、一类错误,,,,,,,,,,,,,,
alpha spending function,α 消耗函数,,,,,,,,,,,,,,
alpha spending procedure,α 消耗方法,,,,,,,,,,,,,,
alternative hypothesis,备择假设,,,,,,,,,,,,,,
Altman-Bland method,Altman-Bland 方法,,,,,,,,,,,,,,
Altman-Bland plot,Altman-Bland 图,,,,,,,,,,,,,,
"Analysis Data Model, ADaM",分析数据标准模型,,,,,,,,,,,,,,
analysis of correlation,相关性分析,,,,,,,,,,,,,,
analysis of Covariance (ANCOVA),协方差分析（常简称为ANCOVA）,,,,,,,,,,,,,,
analysis of incomplete data,不完整数据分析,,,,,,,,,,,,,,
analysis of regression,回归分析,,,,,,,,,,,,,,
analysis of time series,时间序列分析,,,,,,,,,,,,,,
analysis of variance (ANOVA),方差分析（又简称为ANOVA）,,,,,,,,,,,,,,
analysis set,分析集,,,,,,,,,,,,,,
ANCOVA,协方差分析,,,,,,,,,,,,,,
annotated Case Report Form,注释病例报告表,,,,,,,,,,,,,,
"Annotated Case Report Form, aCRF",注释病例报告表,,,,,,,,,,,,,,
annual death rate,年死亡率,,,,,,,,,,,,,,
ANOVA,方差分析,,,,,,,,,,,,,,
Ansari-Bradley test,Ansari-Bradley检验,,,,,,,,,,,,,,
A-optimal design,A-最优设计,,,,,,,,,,,,,,
A-optimality,A-最优性,,,,,,,,,,,,,,
apparent total body clearance,表观全身清除率,,,,,,,,,,,,,,
apparent volume of distribution,表观分布容积,,,,,,,,,,,,,,
area under ROC curve,ROC曲线下面积,,,,,,,,,,,,,,
area under the curve （AUC）,曲线下面积（又简称为AUC）,,,,,,,,,,,,,,
arithmetic mean,算数均数,,,,,,,,,,,,,,
arithmetic weighted mean,加权算术均数,,,,,,,,,,,,,,
ARR,绝对风险降低,,,,,,,,,,,,,,
assay,分析、检测,,,,,,,,,,,,,,
assay accuracy,检测准确性,,,,,,,,,,,,,,
assay precision,检测精密度,,,,,,,,,,,,,,
assay sensitivity,检定敏感性,,,,,,,,,,,,,,
association,关联性,,,,,,,,,,,,,,
association test,关联检验,,,,,,,,,,,,,,
asymmetric distribution,非对称分布,,,,,,,,,,,,,,
asymptotic bias,渐近偏差,,,,,,,,,,,,,,
asymptotic efficiency,渐近效率,,,,,,,,,,,,,,
Asymptotic Methods,渐近方法,,,,,,,,,,,,,,
asymptotic variance,渐近方差,,,,,,,,,,,,,,
at risk,风险中、处于风险,,,,,,,,,,,,,,
attributable fraction,归因分值,,,,,,,,,,,,,,
attributable risk,特异危险性、归因危险度,,,,,,,,,,,,,,
attributes control chart,计数控制图,,,,,,,,,,,,,,
AUC,曲线下面积,,,,,,,,,,,,,,
augmented data,扩增数据,,,,,,,,,,,,,,
autocorrelation,自相关,,,,,,,,,,,,,,
autoregressive,自回归,,,,,,,,,,,,,,
autoregressive correlation matrix,自回归相关矩阵,,,,,,,,,,,,,,
Auxiliary Safety Cohort,辅助安全队列,,,,,,,,,,,,,,
auxiliary variable,辅助变量,,,,,,,,,,,,,,
average,平均值,,,,,,,,,,,,,,
average amount of inspection,平均检验量,,,,,,,,,,,,,,
average bioequivalence,平均生物等效性,,,,,,,,,,,,,,
"Average bioequivalence, ABE",平均生物等效性,,,,,,,,,,,,,,
average confidence interval length,平均置信区间长度,,,,,,,,,,,,,,
average control chart,均值控制图,,,,,,,,,,,,,,
average deviation,平均差,,,,,,,,,,,,,,
average hazard rate,平均危险率、平均风险率,,,,,,,,,,,,,,
average rank,平均秩,,,,,,,,,,,,,,
average run length,平均链长,,,,,,,,,,,,,,
average sample size,平均样本量,,,,,,,,,,,,,,
back door criterion,后门准则,,,,,,,,,,,,,,
back-calculated,反方向计算,,,,,,,,,,,,,,
backward elimination,后退剔除,,,,,,,,,,,,,,
backward induction,反向归纳,,,,,,,,,,,,,,
balance,平衡,,,,,,,,,,,,,,
balanced block design,平衡区组设计,,,,,,,,,,,,,,
balanced design,平衡设计,,,,,,,,,,,,,,
balanced imcomplete block design,平衡不完全区组设计,,,,,,,,,,,,,,
balanced nested design,平衡嵌套设计,,,,,,,,,,,,,,
bar chart,条形图,,,,,,,,,,,,,,
Barnett’s test,Barnett检验,,,,,,,,,,,,,,
Bartholomew trend test,Bartholomew 趋势检验,,,,,,,,,,,,,,
baseline,基线,,,,,,,,,,,,,,
baseline covariate,基线协变量,,,,,,,,,,,,,,
baseline hazard,基础风险,,,,,,,,,,,,,,
baseline hazard function,基础风险函数,,,,,,,,,,,,,,
baseline measurement,基线测量,,,,,,,,,,,,,,
basic state,基本状态,,,,,,,,,,,,,,
basket trial,篮子试验,,,,,,,,,,,,,,
Basket Trial Design,篮式设计,,,,,,,,,,,,,,
batch analysis,批分析,,,,,,,,,,,,,,
batches,批次,,,,,,,,,,,,,,
bath tub shape,浴缸形状,,,,,,,,,,,,,,
